Date,Measure,Value,Category
01/05/2020, Volume , 73 ,Specialist food stores
01/06/2020, Volume , 75 ,Specialist food stores
01/07/2020, Volume , 93 ,Specialist food stores
01/08/2020, Volume , 91 ,Specialist food stores
01/09/2020, Volume , 98 ,Specialist food stores
01/10/2020, Volume , 96 ,Specialist food stores
01/11/2020, Volume , 96 ,Specialist food stores
01/12/2020, Volume , 93 ,Specialist food stores
01/01/2021, Volume , 80 ,Specialist food stores
01/02/2021, Volume , 87 ,Specialist food stores
01/03/2021, Volume , 93 ,Specialist food stores
01/04/2021, Volume , 92 ,Specialist food stores
01/05/2021, Volume , 94 ,Specialist food stores
01/06/2021, Volume , 97 ,Specialist food stores
01/07/2021, Volume , 97 ,Specialist food stores
01/08/2021, Volume , 99 ,Specialist food stores
01/09/2021, Volume , 101 ,Specialist food stores
01/10/2021, Volume , 103 ,Specialist food stores
01/11/2021, Volume , 106 ,Specialist food stores
01/12/2021, Volume , 107 ,Specialist food stores
01/01/2022, Volume , 109 ,Specialist food stores
01/02/2022, Volume , 106 ,Specialist food stores
01/03/2022, Volume , 105 ,Specialist food stores
01/04/2022, Volume , 105 ,Specialist food stores
01/05/2022, Volume , 103 ,Specialist food stores
01/01/2015, Proportion , 3.4 ,Flowers plants seeds fertilisers and pet foods
01/02/2015, Proportion , 6.5 ,Flowers plants seeds fertilisers and pet foods
01/03/2015, Proportion , 2.3 ,Flowers plants seeds fertilisers and pet foods
01/04/2015, Proportion , 2.4 ,Flowers plants seeds fertilisers and pet foods
01/05/2015, Proportion , 2.5 ,Flowers plants seeds fertilisers and pet foods
01/06/2015, Proportion , 2.1 ,Flowers plants seeds fertilisers and pet foods
01/07/2015, Proportion , 2.0 ,Flowers plants seeds fertilisers and pet foods
01/08/2015, Proportion , 1.7 ,Flowers plants seeds fertilisers and pet foods
01/09/2015, Proportion , 1.9 ,Flowers plants seeds fertilisers and pet foods
01/10/2015, Proportion , 1.9 ,Flowers plants seeds fertilisers and pet foods
01/11/2015, Proportion , 2.7 ,Flowers plants seeds fertilisers and pet foods
01/12/2015, Proportion , 2.7 ,Flowers plants seeds fertilisers and pet foods
01/01/2016, Proportion , 2.3 ,Flowers plants seeds fertilisers and pet foods
01/02/2016, Proportion , 3.5 ,Flowers plants seeds fertilisers and pet foods
01/03/2016, Proportion , 4.0 ,Flowers plants seeds fertilisers and pet foods
01/04/2016, Proportion , 3.1 ,Flowers plants seeds fertilisers and pet foods
01/05/2016, Proportion , 1.7 ,Flowers plants seeds fertilisers and pet foods
01/06/2016, Proportion , 1.6 ,Flowers plants seeds fertilisers and pet foods
01/07/2016, Proportion , 1.4 ,Flowers plants seeds fertilisers and pet foods
01/08/2016, Proportion , 1.3 ,Flowers plants seeds fertilisers and pet foods
01/09/2016, Proportion , 1.7 ,Flowers plants seeds fertilisers and pet foods
01/10/2016, Proportion , 1.1 ,Flowers plants seeds fertilisers and pet foods
01/11/2016, Proportion , 1.0 ,Flowers plants seeds fertilisers and pet foods
01/12/2016, Proportion , 1.6 ,Flowers plants seeds fertilisers and pet foods
01/01/2017, Proportion , 1.8 ,Flowers plants seeds fertilisers and pet foods
01/02/2017, Proportion , 3.3 ,Flowers plants seeds fertilisers and pet foods
01/03/2017, Proportion , 4.4 ,Flowers plants seeds fertilisers and pet foods
01/04/2017, Proportion , 6.3 ,Flowers plants seeds fertilisers and pet foods
01/05/2017, Proportion , 4.7 ,Flowers plants seeds fertilisers and pet foods
01/06/2017, Proportion , 4.6 ,Flowers plants seeds fertilisers and pet foods
01/07/2017, Proportion , 3.6 ,Flowers plants seeds fertilisers and pet foods
01/08/2017, Proportion , 3.2 ,Flowers plants seeds fertilisers and pet foods
01/09/2017, Proportion , 1.8 ,Flowers plants seeds fertilisers and pet foods
01/10/2017, Proportion , 2.2 ,Flowers plants seeds fertilisers and pet foods
01/11/2017, Proportion , 4.8 ,Flowers plants seeds fertilisers and pet foods
01/12/2017, Proportion , 3.7 ,Flowers plants seeds fertilisers and pet foods
01/01/2018, Proportion , 3.5 ,Flowers plants seeds fertilisers and pet foods
01/02/2018, Proportion , 3.7 ,Flowers plants seeds fertilisers and pet foods
01/03/2018, Proportion , 4.9 ,Flowers plants seeds fertilisers and pet foods
01/04/2018, Proportion , 7.1 ,Flowers plants seeds fertilisers and pet foods
